X,Y,FID,CleverID,StopID,StopName,Timepoint,Direction,Routes_ser,NumberofRo,Latitude,Longitude,Mode,Shelter,Stop_type,On_avwk_FY,Off_avwk_F,On_avwk__1,Off_avwk_1,Ramp_Deplo,On_avwk_CY,Off_avwk_C,On_avwk__2,Off_avwk_2
-80.0753000294815,40.4130999557239,4470,5484,W16390,NOBLESTOWN RD AT DUNCAN WAY FS,NA,Outbound,31,1,40.4131,-80.0753,Bus,No Shelter,Bus Stop,0.6,0.43,1,0,0,2,3,2,3
-79.9757000295282,40.4443999557596,4471,8667,E49310,ROSE ST AT KIRKPATRICK ST,NA,Inbound,81,1,40.4444,-79.9757,Bus,No Shelter,Bus Stop,0.6,0.99,1,1,0,1,4,1,4
-80.0072000295717,40.5670999557921,4472,409,N40900,PEEBLES RD AT DUNCAN AVE FS,22122,Both,"2, O5, P13",3,40.5671,-80.0072,Bus,No Shelter,Bus Stop,0.6,0.77,1,1,0,1,5,1,5
-79.9858000295316,40.4596999557621,4473,2756,N52630,TROY HILL RD OPP GOETTMANN ST,NA,Outbound,4,1,40.4597,-79.9858,Bus,No Shelter,Bus Stop,0.6,8.38,1,8,0.03,1,23,1,23
-79.9408000295561,40.4816999557809,4474,19445,E53070,STANTON AVE OPP MCCANDLESS AVE NS,NA,Inbound,87,1,40.4817,-79.9408,Bus,No Shelter,Bus Stop,0.59,0.25,1,0,0,7,2,7,2
-79.9411000295426,40.4512999557708,4475,8259,E18430,ELLSWORTH AVE AT AMBERSON AVE,NA,Outbound,75,1,40.4513,-79.9411,Bus,No Shelter,Bus Stop,0.59,0.8,1,1,0,5,8,5,8
-79.8758000295672,40.4581999557898,4476,9105,E20800,FRANKSTOWN AVE OPP WILKINSBURG AVE,NA,Inbound,77,1,40.4582,-79.8758,Bus,No Shelter,Bus Stop,0.59,0.29,1,0,0,5,1,5,1
-80.177500029502,40.5372999557386,4477,18285,N08510,BEAVER ST AT PEEBLES ST,NA,Inbound,14,1,40.5373,-80.1775,Bus,No Shelter,Bus Stop,0.59,0.41,1,0,0,5,2,5,2
-79.9399000295289,40.4189999557604,4478,12238,E58050,WINTERBURN AVE AT BIGELOW ST,NA,Inbound,58,1,40.419,-79.9399,Bus,No Shelter,Bus Stop,0.59,0.38,1,0,0,4,5,4,5
-80.0755000294815,40.4130999557238,4479,5408,W16380,NOBLESTOWN RD OPP DUNCAN WAY,NA,Inbound,31,1,40.4131,-80.0755,Bus,No Shelter,Bus Stop,0.59,0.47,1,0,0,4,1,4,1
-80.1935000294597,40.4528999557067,4480,5045,W23090,SUMMIT PARK DR AT #20,NA,Inbound,29,1,40.4529,-80.1935,Bus,No Shelter,Bus Stop,0.59,0.05,1,0,0,4,0,4,0
-79.8485000295712,40.446799955793,4481,19146,E07350,BEULAH RD AT MCCRADY RD,3064,Outbound,P16,1,40.4468,-79.8485,Bus,No Shelter,Bus Stop,0.59,2.83,1,3,0,3,55,3,55
-79.8831000295547,40.4351999557803,4482,7075,E14430,COAL ST OPP HUTCHINSON AVE,NA,Inbound,61A,1,40.4352,-79.8831,Bus,No Shelter,Bus Stop,0.59,0.45,1,0,0,3,4,3,4
-80.0273000295222,40.4696999557547,4483,1866,N54690,WOODLAND AVE AT STAYTON ST,NA,Outbound,17,1,40.4697,-80.0273,Bus,No Shelter,Bus Stop,0.59,7.93,1,8,0.03,3,16,3,16
-79.968600029527,40.4363999557588,4484,2558,E01910,FIFTH AVE OPP BRENHAM ST,NA,Both,"54, 71A, 71B, 71C, 71D, 75",6,40.4364,-79.9686,Bus,No Shelter,Bus Stop,0.59,0.94,1,1,0,2,1,2,1
-79.8595000295495,40.4056999557766,4485,7559,E32890,JONES AVE AT MILLER AVE,NA,Outbound,59,1,40.4057,-79.8595,Bus,No Shelter,Bus Stop,0.59,1.04,1,1,0,2,2,2,2
-79.7861000295583,40.3704999557838,4486,11135,E36440,LINCOLN HWY OPP LEUHM ST,NA,Inbound,P76,1,40.3705,-79.7861,Bus,No Shelter,Bus Stop,0.59,0.1,1,0,0,2,0,2,0
-80.054300029527,40.5008999557581,4487,1313,N20200,FOREST AVE OPP #550,NA,Inbound,13,1,40.5009,-80.0543,Bus,No Shelter,Bus Stop,0.59,0.23,1,0,0,2,1,2,1
-79.993900029543,40.4918999557707,4488,2710,N37190,MT TROY RD AT #3735,NA,Inbound,4,1,40.4919,-79.9939,Bus,No Shelter,Bus Stop,0.59,0.08,1,0,0.01,2,0,2,0
-79.9951000295368,40.4785999557659,4489,2867,N50460,SPRING GARDEN RD AT LUKE'S ROAD HOUSE (#3254),NA,Inbound,7,1,40.4786,-79.9951,Bus,No Shelter,Bus Stop,0.59,0.04,1,0,0,2,0,2,0
-79.8756000294947,40.2923999557352,4490,9853,S44820,ST CLAIR AVE AT STATE ST,NA,Both,"55, Y46",2,40.2924,-79.8756,Bus,No Shelter,Bus Stop,0.59,0.75,1,1,0.01,2,4,2,4
-79.9591000295077,40.3849999557443,4491,21534,S70494,CHURCHVIEW AVE OPP CASTLEVIEW DR,NA,Inbound,44,1,40.385,-79.9591,Bus,No Shelter,Bus Stop,0.59,0.02,1,0,0,2,0,2,0
-79.9952000295094,40.4163999557454,4492,7020,S11420,CHARLES ST AT GEORGIA AVE,NA,Outbound,44,1,40.4164,-79.9952,Bus,No Shelter,Bus Stop,0.59,4.8,1,5,0.02,1,10,1,10
-79.9650000295241,40.4270999557566,4493,17265,S70043,SIDNEY ST AT S 28TH ST,NA,Inbound,75,1,40.4271,-79.965,Bus,No Shelter,Bus Stop,0.59,8.11,1,8,0.04,1,57,1,57
-80.1196000295003,40.4894999557377,4494,3445,W08760,HERBST RD AT VIGNE RD,NA,Both,20,1,40.4895,-80.1196,Bus,No Shelter,Bus Stop,0.59,0.73,1,1,0.1,1,1,1,1
-79.8591000295317,40.3647999557632,4495,11771,S33720,MELLON ST OPP MAINE AVE,NA,Both,"52L, 59",2,40.3648,-79.8591,Bus,No Shelter,Bus Stop,0.59,0.64,1,1,0,0,1,0,1
-80.082800029461,40.3718999557084,4496,22640,X70086,KANE BLVD AT BOWER HILL RD,NA,Inbound,41,1,40.3719,-80.0828,Bus,No Shelter,Bus Stop,0.59,0.02,1,0,0,0,0,0,0
-79.9810000295359,40.4659999557654,4497,2735,N31230,LOWRIE ST AT FLECK ST,NA,Both,4,1,40.466,-79.981,Bus,No Shelter,Bus Stop,0.58,1.22,1,1,0.01,5,9,5,9
-79.9528000295503,40.4774999557764,4498,9266,E52990,STANTON AVE OPP HOLMES ST,NA,Inbound,87,1,40.4775,-79.9528,Bus,No Shelter,Bus Stop,0.58,0.12,1,0,0,4,0,4,0
-79.8432000296042,40.5177999558179,4499,16559,E70028,ALLEGHENY AVE AT DELAWARE AVE,NA,Inbound,P78,1,40.5178,-79.8432,Bus,No Shelter,Bus Stop,0.58,0.09,1,0,0,4,1,4,1
-79.8393000295518,40.3956999557785,4500,7186,E13040,CENTER AVE AT GRANDVIEW AVE,NA,Outbound,P68,1,40.3957,-79.8393,Bus,No Shelter,Bus Stop,0.58,2.22,1,2,0.01,3,8,3,8
-79.9063000295565,40.4566999557815,4501,8306,E26570,HAMILTON AVE AT LASCHALL ST,NA,Inbound,71D,1,40.4567,-79.9063,Bus,No Shelter,Bus Stop,0.58,0.23,1,0,0,3,1,3,1
-79.7779000296509,40.5748999558536,4502,12651,N20520,FREEPORT RD AT 2ND ST,NA,Inbound,"1, P10",2,40.5749,-79.7779,Bus,No Shelter,Bus Stop,0.58,0.03,1,0,0,3,0,3,0
-79.9279000295542,40.4676999557796,4503,9235,E17395,EAST LIBERTY BLVD AT NEGLEY AVE,NA,Outbound,89,1,40.4677,-79.9279,Bus,No Shelter,Bus Stop,0.58,1.82,1,2,0.01,2,7,2,7
-79.9363000295361,40.4325999557658,4504,21469,E70886,HOBART RD AT GREENFIELD RD FS,NA,Both,"65, 93",2,40.4326,-79.9363,Bus,No Shelter,Bus Stop,0.58,2.24,1,2,0,2,7,2,7
-79.7780000296547,40.5835999558565,4505,12645,N22670,FREEPORT RD AT ROWE'S CROSSING,NA,Inbound,"1, P10",2,40.5836,-79.778,Bus,No Shelter,Bus Stop,0.58,0.04,1,0,0,2,0,2,0
-80.0313000295224,40.4731999557549,4506,1871,N49570,SHADELAND AVE AT SCHIMMER ST,NA,Outbound,17,1,40.4732,-80.0313,Bus,No Shelter,Bus Stop,0.58,6.92,1,7,0.01,2,20,2,20
-79.8325000295498,40.385899955777,4507,16243,S70301,PORT PERRY RD AT CLYDE AVE,10017,Inbound,55,1,40.3859,-79.8325,Bus,No Shelter,Bus Stop,0.58,0.57,1,1,0,2,3,2,3
-80.0959000295018,40.4748999557389,4508,3483,W08460,HECKLE RD AT PINE HOLLOW RD,NA,Both,"20, 24",2,40.4749,-80.0959,Bus,No Shelter,Bus Stop,0.58,0.19,1,0,0,2,2,2,2
-79.8401000295989,40.503599955814,4509,14322,E57410,WILDWOOD AVE AT FOOD PARK,NA,Inbound,P78,1,40.5036,-79.8401,Bus,No Shelter,Bus Stop,0.58,0.02,1,0,0,1,0,1,0
-79.8744000295487,40.4147999557758,4510,7165,E59670,WOODSTOCK AVE AT WOODSTOCK TERRACE,NA,Outbound,"59, 61A",2,40.4148,-79.8744,Bus,No Shelter,Bus Stop,0.58,1.25,1,1,0,1,3,1,3
-79.8731000295719,40.4667999557933,4511,8961,E40810,MT CARMEL RD AT CALMAR DR,NA,Inbound,"79, P17",2,40.4668,-79.8731,Bus,No Shelter,Bus Stop,0.57,0.29,1,0,0,No Data,No Data,No Data,No Data
-80.0221000294927,40.3984999557326,4512,6083,X13500,PIONEER AVE AT GALLION AVE,NA,Inbound,39,1,40.3985,-80.0221,Bus,No Shelter,Bus Stop,0.57,0.02,1,0,0,8,0,8,0
-79.9580000295639,40.5122999557866,4513,3358,N36080,MT ROYAL BLVD AT PENNVIEW AVE,NA,Inbound,"2, P13",2,40.5123,-79.958,Bus,No Shelter,Bus Stop,0.57,0.08,1,0,0,7,0,7,0
-79.7244000296902,40.6238999558837,4514,13318,N21710,FREEPORT RD AT PRINCETON AVE,NA,Inbound,P10,1,40.6239,-79.7244,Bus,No Shelter,Bus Stop,0.57,0.08,1,0,0,6,0,6,0
-79.893200029564,40.4637999557872,4515,20359,E70743,TILDEN ST AT #7182,NA,Inbound,74,1,40.4638,-79.8932,Bus,No Shelter,Bus Stop,0.57,1.88,1,2,0,4,4,4,4
-79.9014000295547,40.4489999557802,4516,8375,E29890,HOMEWOOD AVE AT PENN AVE,814,Inbound,74,1,40.449,-79.9014,Bus,No Shelter,Bus Stop,0.57,1.11,1,1,0,3,6,3,6
-79.9629000295542,40.4941999557793,4517,2064,N40810,PARKER ST AT SOOSE RD,NA,Inbound,2,1,40.4942,-79.9629,Bus,No Shelter,Bus Stop,0.57,0.5,1,1,0,3,1,3,1
-79.9866000295365,40.4716999557658,4518,2872,N50645,SPRING GARDEN AVE OPP MAUCH ST,NA,Inbound,7,1,40.4717,-79.9866,Bus,No Shelter,Bus Stop,0.57,0.03,1,0,0.01,3,0,3,0
-79.9334000295393,40.4379999557684,4519,15659,E19740,FORBES AVE AT SCHENLEY DR (GOLF COURSE),NA,Outbound,"61A, 61B, 61C, 61D",4,40.438,-79.9334,Bus,No Shelter,Bus Stop,0.57,2.32,1,2,0,2,13,2,13
-79.8283000295492,40.3815999557767,4520,22555,E70958,EAST PITTSBURGH MCKEESPORT BLV OPP #920,NA,Outbound,55,1,40.3816,-79.8283,Bus,No Shelter,Bus Stop,0.57,0.9,1,1,0,2,3,2,3
-79.972100029549,40.4891999557753,4521,1211,N18740,EVERGREEN AVE AT DAVID ST,NA,Outbound,2,1,40.4892,-79.9721,Bus,No Shelter,Bus Stop,0.57,1.51,1,2,0,2,7,2,7
-80.0133000295588,40.5424999557824,4522,249,N70104,MCKNIGHT RD AT ROSS PARK MALL DR FS (SELF STO,1459,Both,"12, 2, O12, P13",4,40.5425,-80.0133,Bus,No Shelter,Bus Stop,0.57,1.52,1,2,0.01,2,9,2,9
-80.0911000294726,40.4044999557169,4523,5588,W00260,3RD ST AT MAIN ST,NA,Inbound,G31,1,40.4045,-80.0911,Bus,No Shelter,Bus Stop,0.57,0.41,1,0,0.01,2,2,2,2
-80.0495000295027,40.44199995574,4524,4238,W21900,STEUBEN ST AT WHITEWOOD DR FS,NA,Inbound,"27, 29",2,40.442,-80.0495,Bus,No Shelter,Bus Stop,0.57,0.16,1,0,0,2,0,2,0
-80.0236000294931,40.4003999557329,4525,6406,X20280,WEST LIBERTY AVE OPP BELLE ISLE AVE,NA,Outbound,41,1,40.4004,-80.0236,Bus,No Shelter,Bus Stop,0.57,2.42,1,2,0.01,2,8,2,8
-79.7828000295727,40.4008999557947,4526,7848,E10720,BROADWAY BLVD OPP BROADVIEW MANOR HI-RISE,NA,Outbound,"69, P69",2,40.4009,-79.7828,Bus,PAAC,Bus Stop with PAAC Shelter,0.57,1.33,1,1,0,1,4,1,4
-79.8699000295489,40.411899955776,4527,7168,E27400,HAWKINS AVE AT 2ND ST,NA,Outbound,"59, 61A",2,40.4119,-79.8699,Bus,No Shelter,Bus Stop,0.57,2.54,1,3,0.09,1,4,1,4
-79.8374000295914,40.4843999558083,4528,14445,E55420,VERONA RD AT BRINLEY DR,NA,Outbound,P78,1,40.4844,-79.8374,Bus,No Shelter,Bus Stop,0.57,1.73,1,2,0,1,5,1,5
-79.9723000295719,40.5412999557925,4529,3338,N35890,MT ROYAL BLVD AT HARTLE RD,NA,Inbound,"2, P13",2,40.5413,-79.9723,Bus,No Shelter,Bus Stop,0.57,0.06,1,0,0,1,0,1,0
-79.9466000295254,40.4159999557577,4530,12082,S25610,IRVINE ST AT MOBILE ST,NA,Inbound,56,1,40.416,-79.9466,Bus,No Shelter,Bus Stop,0.57,0.09,1,0,0,1,0,1,0
-79.9786000294913,40.3621999557318,4531,9556,S39790,PROSPECT RD AT WAINWRIGHT AVE,NA,Outbound,Y49,1,40.3622,-79.9786,Bus,No Shelter,Bus Stop,0.57,0.43,1,0,0,1,6,1,6
-79.9737000295028,40.3848999557406,4532,21574,S70535,CHURCHVIEW AVE AT WAIDLER AVE FS,NA,Outbound,44,1,40.3849,-79.9737,Bus,No Shelter,Bus Stop,0.57,1.75,1,2,0.01,1,6,1,6
-80.0806000294959,40.4498999557346,4533,4303,W02440,BROADHEAD-FORDING RD OPP VILLAGE RD #2,NA,Outbound,27,1,40.4499,-80.0806,Bus,No Shelter,Bus Stop,0.57,0.75,1,1,0,1,1,1,1
-80.0526000294748,40.380599955719,4534,4673,X04520,COCHRAN RD AT CEDAR BLVD,NA,Outbound,36,1,40.3806,-80.0526,Bus,No Shelter,Bus Stop,0.57,1.53,1,2,0.03,1,8,1,8
-79.8688000295363,40.3823999557666,4535,12589,S27540,KENNYWOOD MALL DR AT HOFFMAN BLVD,NA,Both,59,1,40.3824,-79.8688,Bus,No Shelter,Bus Stop,0.56,0.95,1,1,0.02,No Data,No Data,No Data,No Data
-80.0054000294956,40.3923999557349,4536,6186,X03390,BROOKLINE BLVD OPP GREENCREST DR,NA,Both,39,1,40.3924,-80.0054,Bus,No Shelter,Bus Stop,0.56,5.37,1,5,0.05,12,21,12,21
-80.063100029471,40.379799955716,4537,6282,X02270,BOWER HILL RD AT PARKVIEW DR,NA,Inbound,41,1,40.3798,-80.0631,Bus,No Shelter,Bus Stop,0.56,0.01,1,0,0,8,0,8,0
-79.9386000295402,40.443999955769,4538,7654,E06390,BEELER ST AT FORBES AVE,NA,Inbound,"67, 69",2,40.444,-79.9386,Bus,No Shelter,Bus Stop,0.56,6.27,1,6,0,7,36,7,36
-79.8916000295476,40.4253999557749,4539,19006,E39670,MONONGAHELA AVE AT WHIPPLE ST FS,NA,Outbound,"61B, P71",2,40.4254,-79.8916,Bus,No Shelter,Bus Stop,0.56,6.36,1,6,0,6,31,6,31
-79.8435000295221,40.3309999557561,4540,10259,S46960,WALNUT ST AT 31ST AVE,NA,Inbound,60,1,40.331,-79.8435,Bus,No Shelter,Bus Stop,0.56,0.25,1,0,0,4,1,4,1
-79.9253000295495,40.4550999557761,4541,3263,E29105,HIGHLAND AVE OPP ELWOOD ST,NA,Outbound,71B,1,40.4551,-79.9253,Bus,No Shelter,Bus Stop,0.56,5.85,1,6,0,3,43,3,43
-79.9121000295588,40.4662999557831,4542,8533,E34450,LARIMER AVE AT SHETLAND ST,NA,Inbound,74,1,40.4663,-79.9121,Bus,No Shelter,Bus Stop,0.56,0.16,1,0,0,3,1,3,1
-79.9600000295677,40.5224999557894,4543,19527,N35900,MT ROYAL BLVD AT HOFFMAN ST FS,NA,Inbound,"2, P13",2,40.5225,-79.96,Bus,No Shelter,Bus Stop,0.56,0.63,1,1,0,3,1,3,1
-79.979700029488,40.3555999557294,4544,9589,S24280,HWY RT 51 OPP BEALL DR,NA,Outbound,"51, Y46",2,40.3556,-79.9797,Bus,No Shelter,Bus Stop,0.56,1.11,1,1,0,3,6,3,6
-79.8967000295666,40.4724999557891,4545,8405,E56220,WARDSONS ST AT WILTSIE ST,NA,Both,74,1,40.4725,-79.8967,Bus,No Shelter,Bus Stop,0.56,2.1,1,2,0,2,6,2,6
-79.9566000295565,40.494399955781,4546,3414,N40740,PARKER ST AT HILL ST,NA,Inbound,2,1,40.4944,-79.9566,Bus,No Shelter,Bus Stop,0.56,0.8,1,1,0,2,3,2,3
-80.0160000294965,40.4024999557355,4547,6104,X13690,PIONEER AVE OPP DUNSTER ST,NA,Outbound,39,1,40.4025,-80.016,Bus,No Shelter,Bus Stop,0.56,6.45,1,6,0,2,50,2,50
-79.8039000295631,40.3948999557873,4548,7840,E04663,AVENUE U AT WATKINS AVE,NA,Outbound,69,1,40.3949,-79.8039,Bus,No Shelter,Bus Stop,0.56,0.23,1,0,0,1,0,1,0
-79.963500029554,40.4939999557791,4549,2046,N49090,SEAVEY RD AT PARKER ST,NA,Outbound,2,1,40.494,-79.9635,Bus,No Shelter,Bus Stop,0.56,0.63,1,1,0,1,2,1,2
-79.8496000295377,40.3711999557678,4550,11968,S02210,5TH ST AT KENNEDY AVE,NA,Inbound,59,1,40.3712,-79.8496,Bus,No Shelter,Bus Stop,0.56,3.14,1,3,0.01,1,3,1,3
-79.9085000295129,40.3587999557486,4551,12044,S10460,BUTTERMILK HOLLOW RD OPP PGH-MCKEESPORT BLVD,NA,Outbound,"53, 53L, 56",3,40.3588,-79.9085,Bus,No Shelter,Bus Stop,0.56,0.98,1,1,0,1,3,1,3
-79.9136000294816,40.290999955725,4552,11206,S50253,WORTHINGTON AVE AT HWY RT 51,933,Inbound,Y46,1,40.291,-79.9136,Bus,No Shelter,Bus Stop,0.56,0.33,1,0,0,1,1,1,1
-80.0866000294566,40.364599955705,4553,18645,X02260,BOWER HILL RD AT PAINTERS RUN RD FS,NA,Inbound,41,1,40.3646,-80.0866,Bus,Lamar,Bus Stop with Non-PAAC Shelter,0.56,0.54,1,1,0.01,1,0,1,0
